product-id,highlight
P447210,allure 2020 Best of Beauty Award Winner
P447210,Good for: Loss of firmness
P447210,Clean + Planet Positive
P447210,Good for: Anti-Aging
P447210,Fragrance Free
P381030,Hyaluronic Acid
P381030,Best for Dry Skin
P381030,Fragrance Free
P381030,Good for: Dryness
P381030,Without Parabens
P381030,Without Sulfates SLS & SLES
P447780,Good for: Loss of firmness
P447780,Clean at Sephora
P447780,Hydrating
P447780,Good for: Anti-Aging
P447780,Good for: Dryness
P448852,Vegan
P448852,Good for: Redness
P448852,Clean at Sephora
P448852,Fragrance Free
P448852,Good for: Acne/Blemishes
P448852,Alcohol Free
P442752,Vegan
P442752,Oil Free
P442752,Without Silicones
P442752,Alcohol Free
P442752,Gluten Free
P416341,Best for Dry Skin
P416341,Without Phthalates
P416341,Good for: Dryness
P416341,Without Parabens
P416341,Without Sulfates SLS & SLES
P456566,Vegan
P456566,Hyaluronic Acid
P456566,Good for: Dullness/Uneven Texture
P456566,Good for: Loss of firmness
P456566,Vitamin C
P456566,Clean at Sephora
P456566,Without Parabens
P456566,Cruelty-Free
P378852,Vegan
P378852,Good for: Dullness/Uneven Texture
P378852,Clean at Sephora
P448802,Good for: Dullness/Uneven Texture
P448802,Good for: Dark Circles
P448802,Clean at Sephora
P448802,Good for: Dark spots
P448802,Niacinamide
P448802,Cruelty-Free
P455368,Good for: Dullness/Uneven Texture
P455368,Vitamin C
P455368,Clean at Sephora
P455368,"Best for Oily, Combo, Normal Skin"
P460516,Good for: Dullness/Uneven Texture
P460516,Hydrating
P460516,Fragrance Free
P460516,Cruelty-Free
P460516,Clean + Planet Positive
P442753,Vegan
P442753,Good for: Anti-Aging
P442753,Fragrance Free
P442753,Without Parabens
P442753,Without Sulfates SLS & SLES
P442753,Gluten Free
P403818,Clean at Sephora
P403818,Good for: Dryness
P427405,Vegan
P427405,Good for: Anti-Aging
P427405,Without Phthalates
P427405,Fragrance Free
P427405,Without Parabens
P427405,Without Silicones
P379510,Hyaluronic Acid
P379510,Good for: Dullness/Uneven Texture
P379510,Vitamin C
P379510,Good for: Pores
P379510,Good for: Anti-Aging
P379510,Without Parabens
P455934,Good for: Dullness/Uneven Texture
P455934,Clean + Planet Positive
P455934,Good for: Pores
P455934,Niacinamide
P173619,allure 2020 Best of Beauty Award Winner
P173619,Good for: Dullness/Uneven Texture
P173619,Good for: Dark Circles
P173619,Retinol
P173619,Good for: Anti-Aging
P173619,Good for: Dryness
P449180,Vegan
P449180,Good for: Dullness/Uneven Texture
P449180,Vitamin C
P449180,Good for: Anti-Aging
P449180,Good for: Dark spots
P449180,Niacinamide
P39970,Clean at Sephora
P39970,Good for: Dryness
P460701,"Best for Dry, Combo, Normal Skin"
P460701,Good for: Dryness
P460701,Clean at Sephora
P460701,Community Favorite
P446942,Best for Oily Skin
P446942,Good for: Pores
P446942,Clean at Sephora
P446942,Good for: Acne/Blemishes
P446942,Niacinamide
P454313,Good for: Redness
P454313,Good for: Dryness
P454313,Fragrance Free
P454313,Hypoallergenic
P454313,Without Parabens
P461555,Good for: Dullness/Uneven Texture
P461555,allure 2019 Best of Beauty Award Winner
P461555,Community Favorite
P461555,Vitamin C
P461555,Clean + Planet Positive
P461555,"Best for Dry, Combo, Normal Skin"
P297551,Best for Oily Skin
P297551,Clean at Sephora
P479330,Good for: Dullness/Uneven Texture
P479330,Best for Dry Skin
P479330,Hydrating
P479330,Good for: Dryness
P479330,Without Parabens
P479330,Without Sulfates SLS & SLES
P12295,Clean at Sephora
P12295,Good for: Pores
P415237,Best for Normal Skin
P415237,Radiant Finish
P415237,Oil Free
P415237,Vegan
P415237,Cruelty-Free
P415237,Clean at Sephora
P429529,Hyaluronic Acid
P429529,Without Mineral Oil
P429529,Good for: Dryness
P429529,Hypoallergenic
P429529,"Best for Dry, Combo, Normal Skin"
P429529,Without Sulfates SLS & SLES
P467248,Vegan
P467248,Good for: Pores
P467248,Clean at Sephora
P467248,Alcohol Free
P467248,Good for: Dark spots
P467248,Black Owned at Sephora
P466155,Hyaluronic Acid
P466155,Good for: Dullness/Uneven Texture
P466155,Good for: Loss of firmness
P466155,Lactic Acid
P466155,Clean at Sephora
P466155,Good for: Anti-Aging
P503692,Vegan
P503692,Hydrating
P503692,Clean at Sephora
P503692,Good for: Dryness
P503692,Black Owned at Sephora
P503692,Cruelty-Free
P455366,Best for Normal Skin
