product-id,highlight
P392246,AHA/Glycolic Acid
P392246,Good for: Acne/Blemishes
P500423,Vegan
P500423,Good for: Hair Thinning
P500423,Fragrance Free
P500423,Cruelty-Free
P377784,Matte Finish
P377784,Shimmer Finish
P377784,Metallic Finish
P377784,Waterproof
P377784,Long-wearing
P377784,Community Favorite
P229406,Pressed Powder Formula
P229406,allure 2018 Best of Beauty Award Winner
P229406,Long-wearing
P229406,Matte Finish
P229406,Without Parabens
P308201,Community Favorite
P308201,Matte Finish
P308201,Long-wearing
P308201,Full Coverage
P308201,Oil Free
P308201,"Best for Oily, Combo, Normal Skin"
P7880,Clean at Sephora
P7880,"Best for Dry, Combo, Normal Skin"
P7880,Hydrating
P7880,Good for: Dryness
P7880,Good for: Dullness/Uneven Texture
P7880,Without Parabens
P427416,Vegan
P427416,Community Favorite
P427416,Good for: Dark Circles
P427416,Oil Free
P427416,Alcohol Free
P479338,Liquid Formula
P479338,Medium Coverage
P479338,Natural Finish
P479338,Good for: Redness
P479338,Good for: Dullness/Uneven Texture
P479338,Good for: Dark spots
P408219,Community Favorite
P408219,Long-wearing
P408219,Waterproof
P378821,Shimmer Finish
P378821,Vegan
P469502,Good for: Dullness/Uneven Texture
P469502,Good for: Pores
P469502,Fragrance Free
P469502,Salicylic Acid
P469502,Good for: Acne/Blemishes
P469502,"Best for Oily, Combo, Normal Skin"
P415777,Good for: Dullness/Uneven Texture
P415777,Community Favorite
P415777,Good for: Pores
P415777,Clean at Sephora
P415777,Good for: Anti-Aging
P415777,AHA/Glycolic Acid
P377723,Without Parabens
P377723,Radiant Finish
P377723,Vegan
P441814,Vegan
P441814,Radiant Finish
P441814,allure 2020 Best of Beauty Award Winner
P441814,Community Favorite
P441814,Hydrating
P441814,Clean at Sephora
P384963,Without Parabens
P384963,Radiant Finish
P384963,Community Favorite
P384963,Vegan
P409800,Clean at Sephora
P409800,Good for: Dryness
P409800,"Best for Dry, Combo, Normal Skin"
P19700127,Natural Finish
P19700127,Vegan
P19700127,Community Favorite
P49848448,Natural Finish
P49848448,Liquid Formula
P49848448,Community Favorite
P49848448,Medium Coverage
P49848448,"Best for Oily, Combo, Normal Skin"
P49848448,Without Parabens
P309308,Good for: Dullness/Uneven Texture
P309308,Lactic Acid
P309308,Community Favorite
P309308,Good for: Pores
P309308,Good for: Dark Circles
P309308,Cruelty-Free
P64546856,Medium Coverage
P64546856,Liquid Formula
P64546856,Radiant Finish
P64546856,"Best for Dry, Combo, Normal Skin"
P64546856,Without Parabens
P64546856,Vegan
P247355,Radiant Finish
P247355,Good for: Dullness/Uneven Texture
P247355,Liquid Formula
P247355,Community Favorite
P247355,Hydrating
P247355,Medium Coverage
P433172,Good for: Damage
P433172,Community Favorite
P433172,Good for: Color Care
P433172,Fresh Scent
P433172,All Hair Types
P433172,Without Sulfates SLS & SLES
P88779809,Vegan
P88779809,Community Favorite
P88779809,Long-wearing
P88779809,Matte Finish
P88779809,Full Coverage
P467451,Vegan
P467451,Light Coverage
P467451,Cream Formula
P467451,Satin Finish
P467451,Without Parabens
P467451,"Best for Dry, Combo, Normal Skin"
P441831,Good for: Damage
P441831,Community Favorite
P441831,Hydrating
P441831,All Hair Types
P441831,Curl-Enhancing
P441831,Good for: Frizz
P427414,Vegan
P427414,Community Favorite
P427414,Without Silicones
P427414,Alcohol Free
P427414,Gluten Free
P449342,Vegan
P449342,Radiant Finish
P449342,Clean at Sephora
P449342,Fragrance Free
P449342,Without Silicones
P449342,allure 2021: Clean Beauty Winner
P421485,Vegan
P421485,Community Favorite
P421485,allure 2021 Best of Beauty Award Winner
P421485,Matte Finish
P421485,Long-wearing
P433173,Good for: Damage
P433173,Community Favorite
P433173,Good for: Color Care
P433173,Fresh Scent
P433173,All Hair Types
P433173,Good for: Dryness
P442831,Vegan
P442831,Good for: Hair Thinning
P442831,Without Silicones
P442831,Alcohol Free
P458219,Hyaluronic Acid
P458219,Good for: Dullness/Uneven Texture
P458219,Clean + Planet Positive
P458219,Good for: Pores
P458219,Hydrating
P458219,Salicylic Acid
P43818047,Metallic Finish
P43818047,Community Favorite
P43818047,Shimmer Finish
P43818047,Matte Finish
P437097,Vegan
P437097,Natural Finish
P437097,Cream Formula
P437097,Clean at Sephora
P437097,Without Parabens
P437097,Cruelty-Free
P440307,Vegan
P440307,Good for: Dullness/Uneven Texture
P440307,Community Favorite
P440307,Vitamin C
P440307,Clean + Planet Positive
P440307,allure 2021 Best of Beauty Award Winner
P421481,Vegan
P421481,Layerable Scent
P421481,Warm &Spicy Scent
P421481,Without Phthalates
P421481,Cruelty-Free
P284507,Stick Formula
P284507,Cream Formula
P284507,Clean at Sephora
P284507,Long-wearing
P284507,Without Parabens
P284507,Without Sulfates SLS & SLES
P427536,allure 2020 Best of Beauty Award Winner
P427536,Good for: Pores
P427536,Clean at Sephora
P427536,Oil Free
P427536,"Best for Oily, Combo, Normal Skin"
P417312,Vegan
P417312,Layerable Scent
P417312,Warm &Spicy Scent
P417312,Without Phthalates
P417312,Cruelty-Free
P429952,Vegan
P429952,Hyaluronic Acid
P429952,Hydrating
P429952,Clean at Sephora
P429952,Fragrance Free
P429952,Good for: Dryness
P429952,Niacinamide
P429952,Cruelty-Free
P503711,Vegan
P503711,Pressed Powder Formula
P503711,Shimmer Finish
P503711,Long-wearing
P503711,Without Parabens
