product-id,ingredient,order
P400259,Glutamylamidoethyl Imidazole,20
P400259,Tetrahydrobisdemethoxydiferuloylmethane,21
P400259,Tetrahydrodemethoxydiferuloylmethane,22
P400259,Tetrahydrodiferuloylmethane,23
P400259,Pentylene Glycol,24
P400259,Caprylhydroxamic Acid,25
P400259,Leuconostoc/Radish Root Ferment Filtrate,26
P400259,Sorbic Acid,27
P400259,Phenoxyethanol,28
P400259,Sodium Benzoate,29
P400259,Caprylyl Glycol,30
P400259,Chondrus Crispus (Carrageenan) Extract,31
P400259,Ethylhexylglycerin,32
P248407,Colloidal Oatmeal 0,0
P248407,Water,1
P248407,Stearic Acid,2
P248407,Glycerin,3
P248407,C12-15 Alkyl Benzoate,4
P248407,Caprylic/Capric Triglyceride,5
P248407,Glyceryl Stearate,6
P248407,Glyceryl Stearate SE,7
P248407,Cetearyl Alcohol,8
P248407,Butyrospermum Parkii (Shea) Butter,9
P248407,Dimethicone,10
P248407,Squalane,11
P248407,Phenoxyethanol,12
P248407,Caprylyl Glycol,13
P248407,Xanthan Gum,14
P248407,Allantoin,15
P248407,Sodium Hydroxide,16
P248407,Disodium EDTA,17
P248407,Chrysanthemum Parthenium (Feverfew) Extract,18
P248407,Camellia Sinensis Leaf Extract,19
P248407,Glycyrrhiza Glabra (Licorice) Root Extract,20
P248407,Ceramide NP,21
P248407,Eucalyptus Globulus Leaf Oil,22
P427413,Aqua (Water),0
P427413,Lactic Acid,1
P427413,Glycerin,2
P427413,Pentylene Glycol,3
P427413,Propanediol,4
P427413,Sodium Hydroxide,5
P427413,Sodium Hyaluronate Crosspolymer,6
P427413,Tasmannia Lanceolata Fruit/Leaf Extract,7
P427413,Acacia Senegal Gum,8
P427413,Xanthan Gum,9
P427413,Isoceteth-20,10
P427413,Trisodium Ethylenediamine Disuccinate,11
P427413,Ethylhexylglycerin,12
P427413,"1,2-Hexanediol",13
P427413,Caprylyl Glycol,14
P392246,Water/Aqua/Eau,0
P392246,Glycolic Acid,1
P392246,Butylene Glycol,2
P392246,Glycerin,3
P392246,Sodium Hydroxide,4
P392246,Lactic Acid,5
P392246,Salicylic Acid,6
P392246,Tartaric Acid,7
P392246,Vitis Vinifera (Grape) Juice Extract,8
P392246,Aloe Barbadensis Leaf Juice,9
P392246,Opuntia Ficus-Indica Extract,10
P392246,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,11
P392246,Camellia Sinensis Leaf Extract,12
P392246,Rubus Idaeus (Raspberry) Fruit Extract,13
P392246,Saccharomyces Cerevisiae Extract,14
P392246,Buddleja Davidii Meristem Cell Culture,15
P392246,Sclerocarya Birrea Seed Oil,16
P392246,Sodium Hyaluronate Crosspolymer,17
P392246,Allantoin,18
P392246,Hydroxyethylcellulose,19
P392246,Galactoarabinan,20
P392246,Propanediol,21
P392246,Citric Acid,22
P392246,Tetrasodium Glutamate Diacetate,23
P392246,Xanthan Gum,24
P392246,Hexylene Glycol,25
P392246,Phenoxyethanol,26
P392246,Sodium Benzoate,27
P392246,Caprylyl Glycol,28
P392246,Potassium Sorbate,29
P392246,Pentylene Glycol,30
P392246,Sodium Carbonate,31
P392246,Sodium Chloride,32
P392246,Ethylhexylglycerin,33
P7880,Aqua (Water),0
P7880,Coco-Glucoside,1
P7880,Butylene Glycol,2
P7880,Glycerin,3
P7880,Propanediol,4
P7880,Xanthan Gum,5
P7880,"1,2-Hexanediol",6
P7880,Polyglyceryl-10 Laurate,7
P7880,Centaurea Cyanus Flower Water,8
P7880,Cucumis Sativus (Cucumber) Fruit Extract,9
P7880,Helianthus Annuus (Sunflower) Seed Oil,10
P7880,Borago Officinalis Seed Oil,11
P7880,Hydrolyzed Soy Protein,12
P7880,Rosa Damascena Extract,13
P7880,Rosa Damascena Flower Water,14
P7880,Aloe Barbadensis Leaf Juice,15
P7880,Panax Ginseng Root Extract,16
P7880,Malva Sylvestris (Mallow) Flower Extract,17
P7880,Rosa Damascena Flower Oil,18
P7880,Tocopherol,19
P7880,Caprylic/Capric Triglyceride,20
P7880,Caprylyl Glycol,21
P7880,Hydrolyzed Jojoba Esters,22
P7880,Silica,23
P7880,Citric Acid,24
P7880,Pentylene Glycol,25
P7880,Caramel,26
P7880,Sodium Hydroxide,27
P7880,Sodium Benzoate,28
P7880,Potassium Sorbate,29
P427416,Aqua (Water),0
P427416,Caffeine,1
P427416,Maltodextrin,2
P427416,Glycerin,3
P427416,Propanediol,4
P427416,Epigallocatechin Gallatyl Glucoside,5
P427416,Gallyl Glucoside,6
P427416,Hyaluronic Acid,7
P427416,Oxidized Glutathione,8
P427416,Melanin,9
P427416,Glycine Soja (Soybean) Seed Extract,10
P427416,Urea,11
P427416,Pentylene Glycol,12
P427416,Hydroxyethylcellulose,13
P427416,Polyacrylate Crosspolymer-6,14
P427416,Xanthan gum,15
P427416,Lactic Acid,16
P427416,Dehydroacetic Acid,17
P427416,Trisodium Ethylenediamine Disuccinate,18
P427416,Propyl Gallate,19
P427416,Dimethyl Isosorbide,20
P427416,Benzyl Alcohol,21
P427416,"1,2-Hexanediol",22
P427416,Ethylhexylglycerin,23
P427416,Phenoxyethanol,24
P427416,Caprylyl Glycol,25
P469502,Water (Aqua),0
P469502,Methylpropanediol,1
P469502,Butylene Glycol,2
P469502,Salicylic Acid,3
P469502,Polysorbate 20,4
P469502,Camellia Oleifera (Green Tea) Leaf Extract,5
P469502,Sodium Hydroxide,6
P469502,Tetrasodium EDTA,7
P415777,Water,0
P415777,Glycolic Acid,1
P415777,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,2
P415777,Glycerin,3
P415777,Sodium Hydroxide,4
P415777,Salicylic Acid,5
P415777,Aloe Barbadensis Leaf Extract,6
P415777,Camellia Oleifera Leaf Extract,7
P415777,Lactobacillus/Pumpkin Ferment Extract,8
P415777,Lactobacillus/Punica Granatum Fruit Ferment Extract,9
P415777,Opuntia Ficus-Indica Extract,10
P415777,Pyrus Malus (Apple) Fruit Extract,11
P415777,Silybum Marianum Seed Extract,12
P415777,Saccharomyces Cerevisiae Extract,13
P415777,Vitis Vinifera (Grape) Juice Extract,14
P415777,Camellia Sinensis Leaf Powder,15
P415777,Cicer Arietinum Seed Powder,16
P415777,Sclerocarya Birrea Seed Oil,17
P415777,Passiflora Edulis Seed Oil,18
P415777,Leuconostoc/Radish Root Ferment Filtrate,19
P415777,Sodium Hyaluronate Crosspolymer,20
P415777,Sodium PCA,21
P415777,Allantoin,22
P415777,Dipotassium Glycyrrhizate,23
P415777,Dextrin,24
P415777,Polydextrose,25
